n:73 mse_avg:634.73 mse_y:907.24 mse_u:75.01 mse_v:104.42 psnr_avg:20.10 psnr_y:18.55 psnr_u:29.38 psnr_v:27.94 
n:74 mse_avg:631.80 mse_y:903.83 mse_u:73.37 mse_v:102.13 psnr_avg:20.12 psnr_y:18.57 psnr_u:29.48 psnr_v:28.04 
n:75 mse_avg:640.25 mse_y:916.04 mse_u:74.54 mse_v:102.78 psnr_avg:20.07 psnr_y:18.51 psnr_u:29.41 psnr_v:28.01 
n:76 mse_avg:635.00 mse_y:909.17 mse_u:73.48 mse_v:99.84 psnr_avg:20.10 psnr_y:18.54 psnr_u:29.47 psnr_v:28.14 
n:77 mse_avg:629.20 mse_y:900.07 mse_u:74.92 mse_v:100.03 psnr_avg:20.14 psnr_y:18.59 psnr_u:29.38 psnr_v:28.13 
n:78 mse_avg:636.67 mse_y:912.06 mse_u:74.76 mse_v:97.05 psnr_avg:20.09 psnr_y:18.53 psnr_u:29.39 psnr_v:28.26 
n:79 mse_avg:639.69 mse_y:916.73 mse_u:73.78 mse_v:97.46 psnr_avg:20.07 psnr_y:18.51 psnr_u:29.45 psnr_v:28.24 
n:80 mse_avg:635.94 mse_y:911.11 mse_u:74.33 mse_v:96.90 psnr_avg:20.10 psnr_y:18.54 psnr_u:29.42 psnr_v:28.27 
n:81 mse_avg:636.54 mse_y:911.43 mse_u:74.45 mse_v:99.08 psnr_avg:20.09 psnr_y:18.53 psnr_u:29.41 psnr_v:28.17 
n:82 mse_avg:627.95 mse_y:899.72 mse_u:73.85 mse_v:94.94 psnr_avg:20.15 psnr_y:18.59 psnr_u:29.45 psnr_v:28.36 
n:83 mse_avg:634.84 mse_y:908.64 mse_u:76.81 mse_v:97.67 psnr_avg:20.10 psnr_y:18.55 psnr_u:29.28 psnr_v:28.23 
n:84 mse_avg:635.76 mse_y:911.10 mse_u:75.99 mse_v:94.15 psnr_avg:20.10 psnr_y:18.54 psnr_u:29.32 psnr_v:28.39 
n:85 mse_avg:628.12 mse_y:899.33 mse_u:76.50 mse_v:94.94 psnr_avg:20.15 psnr_y:18.59 psnr_u:29.29 psnr_v:28.36 
n:86 mse_avg:628.66 mse_y:901.03 mse_u:74.43 mse_v:93.41 psnr_avg:20.15 psnr_y:18.58 psnr_u:29.41 psnr_v:28.43 
n:87 mse_avg:639.03 mse_y:915.75 mse_u:75.32 mse_v:95.86 psnr_avg:20.08 psnr_y:18.51 psnr_u:29.36 psnr_v:28.31 
n:88 mse_avg:644.06 mse_y:923.34 mse_u:74.50 mse_v:96.49 psnr_avg:20.04 psnr_y:18.48 psnr_u:29.41 psnr_v:28.29 
n:89 mse_avg:639.95 mse_y:917.15 mse_u:74.02 mse_v:97.07 psnr_avg:20.07 psnr_y:18.51 psnr_u:29.44 psnr_v:28.26 
n:90 mse_avg:644.91 mse_y:924.65 mse_u:75.08 mse_v:95.76 psnr_avg:20.04 psnr_y:18.47 psnr_u:29.38 psnr_v:28.32 
n:91 mse_avg:652.97 mse_y:935.17 mse_u:76.99 mse_v:100.18 psnr_avg:19.98 psnr_y:18.42 psnr_u:29.27 psnr_v:28.12 
n:92 mse_avg:640.97 mse_y:917.85 mse_u:76.05 mse_v:98.40 psnr_avg:20.06 psnr_y:18.50 psnr_u:29.32 psnr_v:28.20 
n:93 mse_avg:633.35 mse_y:906.15 mse_u:77.11 mse_v:98.41 psnr_avg:20.11 psnr_y:18.56 psnr_u:29.26 psnr_v:28.20 
n:94 mse_avg:639.69 mse_y:915.87 mse_u:77.90 mse_v:96.79 psnr_avg:20.07 psnr_y:18.51 psnr_u:29.22 psnr_v:28.27 
n:95 mse_avg:653.65 mse_y:936.48 mse_u:78.44 mse_v:97.55 psnr_avg:19.98 psnr_y:18.42 psnr_u:29.19 psnr_v:28.24 
n:96 mse_avg:642.28 mse_y:919.26 mse_u:78.91 mse_v:97.71 psnr_avg:20.05 psnr_y:18.50 psnr_u:29.16 psnr_v:28.23 
n:97 mse_avg:631.51 mse_y:903.11 mse_u:77.55 mse_v:99.10 psnr_avg:20.13 psnr_y:18.57 psnr_u:29.23 psnr_v:28.17 
n:98 mse_avg:641.50 mse_y:917.95 mse_u:77.86 mse_v:99.35 psnr_avg:20.06 psnr_y:18.50 psnr_u:29.22 psnr_v:28.16 
n:99 mse_avg:636.43 mse_y:910.23 mse_u:78.61 mse_v:99.04 psnr_avg:20.09 psnr_y:18.54 psnr_u:29.18 psnr_v:28.17 
n:100 mse_avg:636.97 mse_y:910.63 mse_u:80.05 mse_v:99.21 psnr_avg:20.09 psnr_y:18.54 psnr_u:29.10 psnr_v:28.17 
n:101 mse_avg:633.94 mse_y:905.58 mse_u:80.63 mse_v:100.67 psnr_avg:20.11 psnr_y:18.56 psnr_u:29.07 psnr_v:28.10 
n:102 mse_avg:648.61 mse_y:927.40 mse_u:81.22 mse_v:100.79 psnr_avg:20.01 psnr_y:18.46 psnr_u:29.03 psnr_v:28.10 
n:103 mse_avg:654.70 mse_y:935.66 mse_u:82.37 mse_v:103.21 psnr_avg:19.97 psnr_y:18.42 psnr_u:28.97 psnr_v:27.99 
n:104 mse_avg:637.07 mse_y:911.22 mse_u:78.66 mse_v:98.87 psnr_avg:20.09 psnr_y:18.53 psnr_u:29.17 psnr_v:28.18 
n:105 mse_avg:635.27 mse_y:908.97 mse_u:77.47 mse_v:98.25 psnr_avg:20.10 psnr_y:18.55 psnr_u:29.24 psnr_v:28.21 
n:106 mse_avg:643.78 mse_y:922.42 mse_u:76.38 mse_v:96.59 psnr_avg:20.04 psnr_y:18.48 psnr_u:29.30 psnr_v:28.28 
n:107 mse_avg:644.90 mse_y:923.54 mse_u:77.66 mse_v:97.61 psnr_avg:20.04 psnr_y:18.48 psnr_u:29.23 psnr_v:28.24 
n:108 mse_avg:643.97 mse_y:921.66 mse_u:77.70 mse_v:99.51 psnr_avg:20.04 psnr_y:18.49 psnr_u:29.23 psnr_v:28.15 
n:109 mse_avg:636.02 mse_y:909.70 mse_u:77.07 mse_v:100.27 psnr_avg:20.10 psnr_y:18.54 psnr_u:29.26 psnr_v:28.12 
n:110 mse_avg:631.71 mse_y:904.41 mse_u:75.59 mse_v:97.06 psnr_avg:20.13 psnr_y:18.57 psnr_u:29.35 psnr_v:28.26 
n:111 mse_avg:635.19 mse_y:908.97 mse_u:77.17 mse_v:98.12 psnr_avg:20.10 psnr_y:18.55 psnr_u:29.26 psnr_v:28.21 
n:112 mse_avg:632.75 mse_y:905.82 mse_u:77.36 mse_v:95.90 psnr_avg:20.12 psnr_y:18.56 psnr_u:29.25 psnr_v:28.31 
n:113 mse_avg:634.90 mse_y:908.56 mse_u:78.16 mse_v:97.01 psnr_avg:20.10 psnr_y:18.55 psnr_u:29.20 psnr_v:28.26 
n:114 mse_avg:625.48 mse_y:895.70 mse_u:76.56 mse_v:93.54 psnr_avg:20.17 psnr_y:18.61 psnr_u:29.29 psnr_v:28.42 
n:115 mse_avg:632.39 mse_y:905.54 mse_u:77.14 mse_v:95.01 psnr_avg:20.12 psnr_y:18.56 psnr_u:29.26 psnr_v:28.35 
n:116 mse_avg:633.82 mse_y:906.69 mse_u:79.95 mse_v:96.19 psnr_avg:20.11 psnr_y:18.56 psnr_u:29.10 psnr_v:28.30 
n:117 mse_avg:620.76 mse_y:887.49 mse_u:79.45 mse_v:95.17 psnr_avg:20.20 psnr_y:18.65 psnr_u:29.13 psnr_v:28.35 
