n:91 mse_avg:22.29 mse_y:26.23 mse_u:14.27 mse_v:14.53 psnr_avg:34.65 psnr_y:33.94 psnr_u:36.59 psnr_v:36.51 
n:92 mse_avg:24.94 mse_y:29.54 mse_u:15.52 mse_v:15.98 psnr_avg:34.16 psnr_y:33.43 psnr_u:36.22 psnr_v:36.09 
n:93 mse_avg:19.03 mse_y:22.20 mse_u:12.71 mse_v:12.64 psnr_avg:35.34 psnr_y:34.67 psnr_u:37.09 psnr_v:37.11 
n:94 mse_avg:25.20 mse_y:29.80 mse_u:15.71 mse_v:16.29 psnr_avg:34.12 psnr_y:33.39 psnr_u:36.17 psnr_v:36.01 
n:95 mse_avg:22.59 mse_y:26.63 mse_u:14.50 mse_v:14.56 psnr_avg:34.59 psnr_y:33.88 psnr_u:36.52 psnr_v:36.50 
n:96 mse_avg:25.20 mse_y:29.86 mse_u:15.61 mse_v:16.15 psnr_avg:34.12 psnr_y:33.38 psnr_u:36.20 psnr_v:36.05 
n:97 mse_avg:19.06 mse_y:22.31 mse_u:12.58 mse_v:12.55 psnr_avg:35.33 psnr_y:34.65 psnr_u:37.14 psnr_v:37.14 
n:98 mse_avg:25.09 mse_y:29.76 mse_u:15.35 mse_v:16.13 psnr_avg:34.14 psnr_y:33.39 psnr_u:36.27 psnr_v:36.05 
n:99 mse_avg:22.35 mse_y:26.27 mse_u:14.19 mse_v:14.83 psnr_avg:34.64 psnr_y:33.94 psnr_u:36.61 psnr_v:36.42 
n:100 mse_avg:25.29 mse_y:30.08 mse_u:15.57 mse_v:15.85 psnr_avg:34.10 psnr_y:33.35 psnr_u:36.21 psnr_v:36.13 
n:101 mse_avg:18.95 mse_y:22.11 mse_u:12.76 mse_v:12.47 psnr_avg:35.36 psnr_y:34.68 psnr_u:37.07 psnr_v:37.17 
n:102 mse_avg:25.26 mse_y:30.02 mse_u:15.82 mse_v:15.62 psnr_avg:34.11 psnr_y:33.36 psnr_u:36.14 psnr_v:36.19 
