n:94 mse_avg:8.51 mse_y:11.71 mse_u:1.37 mse_v:2.87 psnr_avg:38.83 psnr_y:37.45 psnr_u:46.77 psnr_v:43.56 
n:95 mse_avg:8.70 mse_y:11.98 mse_u:1.38 mse_v:2.89 psnr_avg:38.74 psnr_y:37.34 psnr_u:46.74 psnr_v:43.52 
n:96 mse_avg:7.37 mse_y:10.00 mse_u:1.37 mse_v:2.84 psnr_avg:39.46 psnr_y:38.13 psnr_u:46.78 psnr_v:43.60 
n:97 mse_avg:8.40 mse_y:11.52 mse_u:1.38 mse_v:2.93 psnr_avg:38.89 psnr_y:37.52 psnr_u:46.74 psnr_v:43.46 
n:98 mse_avg:9.93 mse_y:13.80 mse_u:1.39 mse_v:3.00 psnr_avg:38.16 psnr_y:36.73 psnr_u:46.70 psnr_v:43.35 
n:99 mse_avg:9.76 mse_y:13.53 mse_u:1.42 mse_v:3.05 psnr_avg:38.23 psnr_y:36.82 psnr_u:46.62 psnr_v:43.29 
n:100 mse_avg:6.06 mse_y:8.11 mse_u:1.29 mse_v:2.64 psnr_avg:40.31 psnr_y:39.04 psnr_u:47.02 psnr_v:43.92 
n:101 mse_avg:7.52 mse_y:10.28 mse_u:1.31 mse_v:2.70 psnr_avg:39.37 psnr_y:38.01 psnr_u:46.96 psnr_v:43.81 
n:102 mse_avg:9.35 mse_y:13.00 mse_u:1.33 mse_v:2.77 psnr_avg:38.42 psnr_y:36.99 psnr_u:46.88 psnr_v:43.71 
n:103 mse_avg:9.77 mse_y:13.61 mse_u:1.35 mse_v:2.85 psnr_avg:38.23 psnr_y:36.79 psnr_u:46.84 psnr_v:43.58 
n:104 mse_avg:10.51 mse_y:14.69 mse_u:1.37 mse_v:2.90 psnr_avg:37.92 psnr_y:36.46 psnr_u:46.78 psnr_v:43.50 
n:105 mse_avg:11.54 mse_y:16.23 mse_u:1.38 mse_v:2.93 psnr_avg:37.51 psnr_y:36.03 psnr_u:46.73 psnr_v:43.47 
n:106 mse_avg:10.02 mse_y:13.91 mse_u:1.41 mse_v:3.07 psnr_avg:38.12 psnr_y:36.70 psnr_u:46.65 psnr_v:43.26 
n:107 mse_avg:10.19 mse_y:14.15 mse_u:1.43 mse_v:3.12 psnr_avg:38.05 psnr_y:36.62 psnr_u:46.57 psnr_v:43.19 
n:108 mse_avg:10.11 mse_y:14.03 mse_u:1.44 mse_v:3.12 psnr_avg:38.08 psnr_y:36.66 psnr_u:46.56 psnr_v:43.19 
n:109 mse_avg:6.86 mse_y:9.24 mse_u:1.38 mse_v:2.83 psnr_avg:39.77 psnr_y:38.47 psnr_u:46.72 psnr_v:43.61 
n:110 mse_avg:8.55 mse_y:11.76 mse_u:1.39 mse_v:2.89 psnr_avg:38.81 psnr_y:37.43 psnr_u:46.69 psnr_v:43.52 
n:111 mse_avg:10.16 mse_y:14.15 mse_u:1.41 mse_v:2.94 psnr_avg:38.06 psnr_y:36.62 psnr_u:46.65 psnr_v:43.44 
n:112 mse_avg:10.30 mse_y:14.34 mse_u:1.44 mse_v:2.97 psnr_avg:38.00 psnr_y:36.56 psnr_u:46.56 psnr_v:43.41 
n:113 mse_avg:10.53 mse_y:14.68 mse_u:1.45 mse_v:3.01 psnr_avg:37.91 psnr_y:36.46 psnr_u:46.51 psnr_v:43.34 
n:114 mse_avg:10.14 mse_y:14.10 mse_u:1.43 mse_v:3.03 psnr_avg:38.07 psnr_y:36.64 psnr_u:46.57 psnr_v:43.32 
n:115 mse_avg:10.66 mse_y:14.85 mse_u:1.46 mse_v:3.09 psnr_avg:37.85 psnr_y:36.41 psnr_u:46.47 psnr_v:43.23 
n:116 mse_avg:10.33 mse_y:14.33 mse_u:1.48 mse_v:3.15 psnr_avg:37.99 psnr_y:36.57 psnr_u:46.43 psnr_v:43.14 
n:117 mse_avg:10.09 mse_y:13.97 mse_u:1.48 mse_v:3.18 psnr_avg:38.09 psnr_y:36.68 psnr_u:46.43 psnr_v:43.11 
n:118 mse_avg:6.71 mse_y:9.00 mse_u:1.40 mse_v:2.84 psnr_avg:39.87 psnr_y:38.59 psnr_u:46.66 psnr_v:43.60 
n:119 mse_avg:8.36 mse_y:11.46 mse_u:1.42 mse_v:2.91 psnr_avg:38.91 psnr_y:37.54 psnr_u:46.61 psnr_v:43.49 
n:120 mse_avg:8.65 mse_y:11.89 mse_u:1.42 mse_v:2.93 psnr_avg:38.76 psnr_y:37.38 psnr_u:46.60 psnr_v:43.46 
n:121 mse_avg:1.03 mse_y:1.23 mse_u:0.54 mse_v:0.76 psnr_avg:47.99 psnr_y:47.24 psnr_u:50.82 psnr_v:49.35 
n:122 mse_avg:1.08 mse_y:1.30 mse_u:0.54 mse_v:0.75 psnr_avg:47.79 psnr_y:46.99 psnr_u:50.84 psnr_v:49.36 
n:123 mse_avg:1.34 mse_y:1.66 mse_u:0.57 mse_v:0.82 psnr_avg:46.87 psnr_y:45.93 psnr_u:50.59 psnr_v:49.01 
n:124 mse_avg:1.51 mse_y:1.88 mse_u:0.63 mse_v:0.91 psnr_avg:46.33 psnr_y:45.38 psnr_u:50.12 psnr_v:48.54 
n:125 mse_avg:1.56 mse_y:1.92 mse_u:0.70 mse_v:0.99 psnr_avg:46.20 psnr_y:45.30 psnr_u:49.67 psnr_v:48.18 
n:126 mse_avg:1.71 mse_y:2.11 mse_u:0.76 mse_v:1.06 psnr_avg:45.79 psnr_y:44.88 psnr_u:49.31 psnr_v:47.86 
n:127 mse_avg:1.91 mse_y:2.37 mse_u:0.84 mse_v:1.12 psnr_avg:45.32 psnr_y:44.38 psnr_u:48.87 psnr_v:47.65 
n:128 mse_avg:1.16 mse_y:1.38 mse_u:0.62 mse_v:0.84 psnr_avg:47.47 psnr_y:46.72 psnr_u:50.21 psnr_v:48.90 
n:129 mse_avg:1.55 mse_y:1.93 mse_u:0.67 mse_v:0.90 psnr_avg:46.24 psnr_y:45.28 psnr_u:49.88 psnr_v:48.60 
n:130 mse_avg:1.61 mse_y:2.01 mse_u:0.70 mse_v:0.93 psnr_avg:46.06 psnr_y:45.10 psnr_u:49.70 psnr_v:48.47 
n:131 mse_avg:1.67 mse_y:2.08 mse_u:0.72 mse_v:0.96 psnr_avg:45.90 psnr_y:44.94 psnr_u:49.55 psnr_v:48.30 
n:132 mse_avg:1.72 mse_y:2.15 mse_u:0.75 mse_v:0.97 psnr_avg:45.78 psnr_y:44.81 psnr_u:49.36 psnr_v:48.28 
n:133 mse_avg:1.60 mse_y:1.97 mse_u:0.76 mse_v:0.97 psnr_avg:46.09 psnr_y:45.19 psnr_u:49.34 psnr_v:48.27 
n:134 mse_avg:1.79 mse_y:2.24 mse_u:0.80 mse_v:1.02 psnr_avg:45.59 psnr_y:44.63 psnr_u:49.09 psnr_v:48.06 
n:135 mse_avg:1.84 mse_y:2.29 mse_u:0.84 mse_v:1.04 psnr_avg:45.49 psnr_y:44.54 psnr_u:48.91 psnr_v:47.94 
n:136 mse_avg:1.29 mse_y:1.53 mse_u:0.71 mse_v:0.90 psnr_avg:47.03 psnr_y:46.29 psnr_u:49.62 psnr_v:48.60 
n:137 mse_avg:1.49 mse_y:1.81 mse_u:0.75 mse_v:0.93 psnr_avg:46.41 psnr_y:45.55 psnr_u:49.40 psnr_v:48.45 
n:138 mse_avg:1.51 mse_y:1.83 mse_u:0.79 mse_v:0.96 psnr_avg:46.34 psnr_y:45.51 psnr_u:49.18 psnr_v:48.29 
n:139 mse_avg:1.53 mse_y:1.84 mse_u:0.82 mse_v:0.98 psnr_avg:46.30 psnr_y:45.48 psnr_u:48.98 psnr_v:48.23 
n:140 mse_avg:1.62 mse_y:1.97 mse_u:0.84 mse_v:1.00 psnr_avg:46.04 psnr_y:45.20 psnr_u:48.89 psnr_v:48.14 
n:141 mse_avg:1.83 mse_y:2.25 mse_u:0.91 mse_v:1.06 psnr_avg:45.52 psnr_y:44.62 psnr_u:48.53 psnr_v:47.90 
n:142 mse_avg:2.14 mse_y:2.66 mse_u:1.01 mse_v:1.16 psnr_avg:44.83 psnr_y:43.87 psnr_u:48.07 psnr_v:47.49 
n:143 mse_avg:2.34 mse_y:2.91 mse_u:1.15 mse_v:1.28 psnr_avg:44.43 psnr_y:43.49 psnr_u:47.52 psnr_v:47.05 
n:144 mse_avg:2.54 mse_y:3.16 mse_u:1.25 mse_v:1.36 psnr_avg:44.08 psnr_y:43.13 psnr_u:47.17 psnr_v:46.79 
n:145 mse_avg:1.39 mse_y:1.63 mse_u:0.83 mse_v:1.00 psnr_avg:46.70 psnr_y:46.01 psnr_u:48.95 psnr_v:48.14 
n:146 mse_avg:2.21 mse_y:2.79 mse_u:0.95 mse_v:1.12 psnr_avg:44.70 psnr_y:43.67 psnr_u:48.35 psnr_v:47.63 
n:147 mse_avg:2.41 mse_y:3.06 mse_u:1.06 mse_v:1.19 psnr_avg:44.31 psnr_y:43.28 psnr_u:47.86 psnr_v:47.39 
n:148 mse_avg:2.52 mse_y:3.17 mse_u:1.15 mse_v:1.28 psnr_avg:44.12 psnr_y:43.12 psnr_u:47.53 psnr_v:47.07 
n:149 mse_avg:2.67 mse_y:3.36 mse_u:1.23 mse_v:1.35 psnr_avg:43.86 psnr_y:42.86 psnr_u:47.24 psnr_v:46.82 
n:150 mse_avg:2.39 mse_y:2.98 mse_u:1.16 mse_v:1.29 psnr_avg:44.34 psnr_y:43.39 psnr_u:47.47 psnr_v:47.04 
n:151 mse_avg:2.57 mse_y:3.20 mse_u:1.24 mse_v:1.34 psnr_avg:44.04 psnr_y:43.07 psnr_u:47.20 psnr_v:46.86 
n:152 mse_avg:2.45 mse_y:3.04 mse_u:1.20 mse_v:1.35 psnr_avg:44.24 psnr_y:43.30 psnr_u:47.35 psnr_v:46.82 
n:153 mse_avg:1.37 mse_y:1.61 mse_u:0.79 mse_v:1.00 psnr_avg:46.76 psnr_y:46.07 psnr_u:49.13 psnr_v:48.11 
n:154 mse_avg:1.67 mse_y:2.04 mse_u:0.82 mse_v:1.03 psnr_avg:45.91 psnr_y:45.04 psnr_u:49.01 psnr_v:48.00 
n:155 mse_avg:1.71 mse_y:2.09 mse_u:0.86 mse_v:1.06 psnr_avg:45.80 psnr_y:44.93 psnr_u:48.79 psnr_v:47.86 
n:156 mse_avg:1.76 mse_y:2.14 mse_u:0.91 mse_v:1.11 psnr_avg:45.67 psnr_y:44.84 psnr_u:48.54 psnr_v:47.67 
n:157 mse_avg:1.86 mse_y:2.27 mse_u:0.92 mse_v:1.13 psnr_avg:45.44 psnr_y:44.57 psnr_u:48.49 psnr_v:47.60 
n:158 mse_avg:1.77 mse_y:2.15 mse_u:0.90 mse_v:1.09 psnr_avg:45.66 psnr_y:44.80 psnr_u:48.59 psnr_v:47.76 
n:159 mse_avg:1.98 mse_y:2.45 mse_u:0.94 mse_v:1.14 psnr_avg:45.16 psnr_y:44.23 psnr_u:48.39 psnr_v:47.56 
n:160 mse_avg:2.10 mse_y:2.62 mse_u:0.97 mse_v:1.15 psnr_avg:44.91 psnr_y:43.96 psnr_u:48.25 psnr_v:47.51 
n:161 mse_avg:1.35 mse_y:1.59 mse_u:0.76 mse_v:0.95 psnr_avg:46.83 psnr_y:46.10 psnr_u:49.31 psnr_v:48.35 
n:162 mse_avg:1.41 mse_y:1.68 mse_u:0.78 mse_v:0.96 psnr_avg:46.63 psnr_y:45.87 psnr_u:49.20 psnr_v:48.31 
n:163 mse_avg:1.44 mse_y:1.72 mse_u:0.79 mse_v:0.98 psnr_avg:46.54 psnr_y:45.77 psnr_u:49.17 psnr_v:48.21 
n:164 mse_avg:1.47 mse_y:1.76 mse_u:0.80 mse_v:0.99 psnr_avg:46.45 psnr_y:45.67 psnr_u:49.08 psnr_v:48.19 
n:165 mse_avg:1.50 mse_y:1.79 mse_u:0.83 mse_v:1.00 psnr_avg:46.37 psnr_y:45.59 psnr_u:48.96 psnr_v:48.14 
n:166 mse_avg:1.44 mse_y:1.72 mse_u:0.80 mse_v:0.98 psnr_avg:46.54 psnr_y:45.78 psnr_u:49.09 psnr_v:48.22 
n:167 mse_avg:1.50 mse_y:1.79 mse_u:0.83 mse_v:0.99 psnr_avg:46.37 psnr_y:45.59 psnr_u:48.93 psnr_v:48.16 
n:168 mse_avg:1.68 mse_y:2.05 mse_u:0.86 mse_v:1.01 psnr_avg:45.88 psnr_y:45.01 psnr_u:48.78 psnr_v:48.07 
