n:55 mse_avg:68.67 mse_y:101.29 mse_u:3.45 mse_v:3.44 psnr_avg:29.76 psnr_y:28.08 psnr_u:42.76 psnr_v:42.77 
n:56 mse_avg:71.64 mse_y:105.68 mse_u:3.56 mse_v:3.56 psnr_avg:29.58 psnr_y:27.89 psnr_u:42.61 psnr_v:42.62 
n:57 mse_avg:75.65 mse_y:111.67 mse_u:3.60 mse_v:3.60 psnr_avg:29.34 psnr_y:27.65 psnr_u:42.57 psnr_v:42.57 
n:58 mse_avg:83.66 mse_y:123.65 mse_u:3.73 mse_v:3.65 psnr_avg:28.91 psnr_y:27.21 psnr_u:42.41 psnr_v:42.50 
n:59 mse_avg:83.40 mse_y:123.24 mse_u:3.81 mse_v:3.62 psnr_avg:28.92 psnr_y:27.22 psnr_u:42.32 psnr_v:42.55 
n:60 mse_avg:42.49 mse_y:61.98 mse_u:3.74 mse_v:3.29 psnr_avg:31.85 psnr_y:30.21 psnr_u:42.40 psnr_v:42.96 
n:61 mse_avg:53.23 mse_y:78.06 mse_u:3.80 mse_v:3.35 psnr_avg:30.87 psnr_y:29.21 psnr_u:42.33 psnr_v:42.88 
n:62 mse_avg:66.91 mse_y:98.52 mse_u:3.89 mse_v:3.47 psnr_avg:29.88 psnr_y:28.20 psnr_u:42.23 psnr_v:42.73 
n:63 mse_avg:80.02 mse_y:118.15 mse_u:3.99 mse_v:3.54 psnr_avg:29.10 psnr_y:27.41 psnr_u:42.12 psnr_v:42.64 
n:64 mse_avg:80.50 mse_y:118.81 mse_u:4.14 mse_v:3.63 psnr_avg:29.07 psnr_y:27.38 psnr_u:41.96 psnr_v:42.54 
n:65 mse_avg:74.30 mse_y:109.47 mse_u:4.25 mse_v:3.63 psnr_avg:29.42 psnr_y:27.74 psnr_u:41.84 psnr_v:42.53 
n:66 mse_avg:73.67 mse_y:108.52 mse_u:4.24 mse_v:3.69 psnr_avg:29.46 psnr_y:27.78 psnr_u:41.85 psnr_v:42.46 
n:67 mse_avg:69.12 mse_y:101.71 mse_u:4.24 mse_v:3.65 psnr_avg:29.73 psnr_y:28.06 psnr_u:41.86 psnr_v:42.51 
n:68 mse_avg:29.39 mse_y:42.34 mse_u:3.80 mse_v:3.22 psnr_avg:33.45 psnr_y:31.86 psnr_u:42.33 psnr_v:43.06 
n:69 mse_avg:35.12 mse_y:50.87 mse_u:3.97 mse_v:3.24 psnr_avg:32.68 psnr_y:31.07 psnr_u:42.14 psnr_v:43.03 
n:70 mse_avg:43.32 mse_y:63.10 mse_u:4.22 mse_v:3.29 psnr_avg:31.76 psnr_y:30.13 psnr_u:41.87 psnr_v:42.96 
n:71 mse_avg:39.76 mse_y:57.67 mse_u:4.61 mse_v:3.27 psnr_avg:32.14 psnr_y:30.52 psnr_u:41.49 psnr_v:42.99 
n:72 mse_avg:39.02 mse_y:56.38 mse_u:5.18 mse_v:3.43 psnr_avg:32.22 psnr_y:30.62 psnr_u:40.99 psnr_v:42.77 
n:73 mse_avg:38.73 mse_y:55.65 mse_u:5.94 mse_v:3.85 psnr_avg:32.25 psnr_y:30.68 psnr_u:40.39 psnr_v:42.27 
n:74 mse_avg:51.01 mse_y:73.86 mse_u:6.30 mse_v:4.34 psnr_avg:31.05 psnr_y:29.45 psnr_u:40.14 psnr_v:41.76 
n:75 mse_avg:42.06 mse_y:60.38 mse_u:6.44 mse_v:4.41 psnr_avg:31.89 psnr_y:30.32 psnr_u:40.05 psnr_v:41.69 
n:76 mse_avg:49.65 mse_y:71.76 mse_u:6.43 mse_v:4.39 psnr_avg:31.17 psnr_y:29.57 psnr_u:40.05 psnr_v:41.71 
n:77 mse_avg:59.38 mse_y:86.33 mse_u:6.51 mse_v:4.47 psnr_avg:30.39 psnr_y:28.77 psnr_u:40.00 psnr_v:41.63 
n:78 mse_avg:63.50 mse_y:92.50 mse_u:6.44 mse_v:4.58 psnr_avg:30.10 psnr_y:28.47 psnr_u:40.04 psnr_v:41.52 
n:79 mse_avg:63.63 mse_y:92.71 mse_u:6.47 mse_v:4.49 psnr_avg:30.09 psnr_y:28.46 psnr_u:40.02 psnr_v:41.61 
n:80 mse_avg:58.79 mse_y:85.41 mse_u:6.45 mse_v:4.62 psnr_avg:30.44 psnr_y:28.82 psnr_u:40.03 psnr_v:41.48 
n:81 mse_avg:60.21 mse_y:87.51 mse_u:6.56 mse_v:4.64 psnr_avg:30.33 psnr_y:28.71 psnr_u:39.96 psnr_v:41.46 
n:82 mse_avg:57.87 mse_y:83.99 mse_u:6.64 mse_v:4.62 psnr_avg:30.51 psnr_y:28.89 psnr_u:39.91 psnr_v:41.49 
n:83 mse_avg:34.04 mse_y:48.46 mse_u:6.12 mse_v:4.32 psnr_avg:32.81 psnr_y:31.28 psnr_u:40.26 psnr_v:41.78 
n:84 mse_avg:44.47 mse_y:64.09 mse_u:6.18 mse_v:4.30 psnr_avg:31.65 psnr_y:30.06 psnr_u:40.22 psnr_v:41.80 
n:85 mse_avg:45.57 mse_y:65.69 mse_u:6.27 mse_v:4.39 psnr_avg:31.54 psnr_y:29.96 psnr_u:40.16 psnr_v:41.71 
n:86 mse_avg:44.81 mse_y:64.58 mse_u:6.25 mse_v:4.27 psnr_avg:31.62 psnr_y:30.03 psnr_u:40.17 psnr_v:41.83 
n:87 mse_avg:43.84 mse_y:63.19 mse_u:6.07 mse_v:4.20 psnr_avg:31.71 psnr_y:30.12 psnr_u:40.30 psnr_v:41.89 
n:88 mse_avg:53.37 mse_y:77.37 mse_u:6.36 mse_v:4.41 psnr_avg:30.86 psnr_y:29.25 psnr_u:40.10 psnr_v:41.69 
n:89 mse_avg:53.72 mse_y:77.88 mse_u:6.34 mse_v:4.47 psnr_avg:30.83 psnr_y:29.22 psnr_u:40.11 psnr_v:41.63 
n:90 mse_avg:35.29 mse_y:50.37 mse_u:5.97 mse_v:4.28 psnr_avg:32.65 psnr_y:31.11 psnr_u:40.37 psnr_v:41.82 
n:91 mse_avg:45.88 mse_y:66.23 mse_u:6.05 mse_v:4.34 psnr_avg:31.51 psnr_y:29.92 psnr_u:40.31 psnr_v:41.76 
n:92 mse_avg:48.56 mse_y:70.23 mse_u:6.07 mse_v:4.32 psnr_avg:31.27 psnr_y:29.67 psnr_u:40.30 psnr_v:41.77 
n:93 mse_avg:50.29 mse_y:72.80 mse_u:6.22 mse_v:4.36 psnr_avg:31.12 psnr_y:29.51 psnr_u:40.19 psnr_v:41.74 
n:94 mse_avg:52.21 mse_y:75.67 mse_u:6.19 mse_v:4.43 psnr_avg:30.95 psnr_y:29.34 psnr_u:40.21 psnr_v:41.67 
n:95 mse_avg:47.80 mse_y:69.02 mse_u:6.27 mse_v:4.47 psnr_avg:31.34 psnr_y:29.74 psnr_u:40.16 psnr_v:41.62 
n:96 mse_avg:53.55 mse_y:77.63 mse_u:6.35 mse_v:4.46 psnr_avg:30.84 psnr_y:29.23 psnr_u:40.10 psnr_v:41.64 
n:97 mse_avg:54.17 mse_y:78.56 mse_u:6.25 mse_v:4.52 psnr_avg:30.79 psnr_y:29.18 psnr_u:40.17 psnr_v:41.58 
n:98 mse_avg:31.95 mse_y:45.35 mse_u:6.03 mse_v:4.26 psnr_avg:33.09 psnr_y:31.57 psnr_u:40.33 psnr_v:41.84 
n:99 mse_avg:44.70 mse_y:64.46 mse_u:6.01 mse_v:4.37 psnr_avg:31.63 psnr_y:30.04 psnr_u:40.35 psnr_v:41.73 
n:100 mse_avg:48.48 mse_y:70.13 mse_u:6.11 mse_v:4.25 psnr_avg:31.28 psnr_y:29.67 psnr_u:40.27 psnr_v:41.85 
n:101 mse_avg:48.24 mse_y:69.72 mse_u:6.23 mse_v:4.31 psnr_avg:31.30 psnr_y:29.70 psnr_u:40.18 psnr_v:41.79 
n:102 mse_avg:49.59 mse_y:71.71 mse_u:6.34 mse_v:4.38 psnr_avg:31.18 psnr_y:29.57 psnr_u:40.11 psnr_v:41.72 
n:103 mse_avg:50.84 mse_y:73.62 mse_u:6.19 mse_v:4.36 psnr_avg:31.07 psnr_y:29.46 psnr_u:40.21 psnr_v:41.73 
n:104 mse_avg:49.86 mse_y:72.16 mse_u:6.18 mse_v:4.36 psnr_avg:31.15 psnr_y:29.55 psnr_u:40.22 psnr_v:41.74 
n:105 mse_avg:28.99 mse_y:40.94 mse_u:5.97 mse_v:4.19 psnr_avg:33.51 psnr_y:32.01 psnr_u:40.37 psnr_v:41.91 
n:106 mse_avg:39.07 mse_y:56.03 mse_u:6.03 mse_v:4.25 psnr_avg:32.21 psnr_y:30.65 psnr_u:40.33 psnr_v:41.84 
n:107 mse_avg:40.15 mse_y:57.65 mse_u:6.05 mse_v:4.27 psnr_avg:32.09 psnr_y:30.52 psnr_u:40.32 psnr_v:41.83 
n:108 mse_avg:42.32 mse_y:60.86 mse_u:6.16 mse_v:4.31 psnr_avg:31.87 psnr_y:30.29 psnr_u:40.24 psnr_v:41.79 
n:109 mse_avg:42.67 mse_y:61.41 mse_u:6.01 mse_v:4.37 psnr_avg:31.83 psnr_y:30.25 psnr_u:40.34 psnr_v:41.72 
n:110 mse_avg:43.76 mse_y:63.00 mse_u:6.11 mse_v:4.47 psnr_avg:31.72 psnr_y:30.14 psnr_u:40.27 psnr_v:41.62 
n:111 mse_avg:43.51 mse_y:62.64 mse_u:6.05 mse_v:4.42 psnr_avg:31.75 psnr_y:30.16 psnr_u:40.31 psnr_v:41.67 
n:112 mse_avg:26.93 mse_y:38.02 mse_u:5.49 mse_v:4.02 psnr_avg:33.83 psnr_y:32.33 psnr_u:40.73 psnr_v:42.09 
n:113 mse_avg:38.55 mse_y:55.38 mse_u:5.67 mse_v:4.11 psnr_avg:32.27 psnr_y:30.70 psnr_u:40.59 psnr_v:41.99 
n:114 mse_avg:41.96 mse_y:60.49 mse_u:5.69 mse_v:4.09 psnr_avg:31.90 psnr_y:30.31 psnr_u:40.58 psnr_v:42.02 
n:115 mse_avg:43.47 mse_y:62.76 mse_u:5.69 mse_v:4.08 psnr_avg:31.75 psnr_y:30.15 psnr_u:40.58 psnr_v:42.02 
n:116 mse_avg:44.93 mse_y:65.00 mse_u:5.55 mse_v:4.02 psnr_avg:31.61 psnr_y:30.00 psnr_u:40.69 psnr_v:42.09 
