n:56 mse_avg:1.43 mse_y:1.74 mse_u:0.85 mse_v:0.79 psnr_avg:46.57 psnr_y:45.74 psnr_u:48.82 psnr_v:49.14 
n:57 mse_avg:1.11 mse_y:1.27 mse_u:0.82 mse_v:0.73 psnr_avg:47.69 psnr_y:47.09 psnr_u:49.01 psnr_v:49.47 
n:58 mse_avg:1.36 mse_y:1.64 mse_u:0.86 mse_v:0.75 psnr_avg:46.79 psnr_y:45.99 psnr_u:48.77 psnr_v:49.37 
n:59 mse_avg:1.39 mse_y:1.68 mse_u:0.87 mse_v:0.77 psnr_avg:46.70 psnr_y:45.89 psnr_u:48.73 psnr_v:49.27 
n:60 mse_avg:1.42 mse_y:1.73 mse_u:0.85 mse_v:0.77 psnr_avg:46.60 psnr_y:45.75 psnr_u:48.81 psnr_v:49.26 
n:61 mse_avg:1.04 mse_y:1.19 mse_u:0.79 mse_v:0.70 psnr_avg:47.94 psnr_y:47.36 psnr_u:49.14 psnr_v:49.69 
n:62 mse_avg:1.35 mse_y:1.64 mse_u:0.83 mse_v:0.74 psnr_avg:46.82 psnr_y:45.99 psnr_u:48.92 psnr_v:49.44 
n:63 mse_avg:1.34 mse_y:1.62 mse_u:0.83 mse_v:0.72 psnr_avg:46.86 psnr_y:46.03 psnr_u:48.95 psnr_v:49.58 
n:64 mse_avg:1.37 mse_y:1.67 mse_u:0.83 mse_v:0.72 psnr_avg:46.76 psnr_y:45.90 psnr_u:48.96 psnr_v:49.55 
n:65 mse_avg:0.98 mse_y:1.11 mse_u:0.75 mse_v:0.66 psnr_avg:48.23 psnr_y:47.66 psnr_u:49.37 psnr_v:49.92 
n:66 mse_avg:1.30 mse_y:1.58 mse_u:0.80 mse_v:0.71 psnr_avg:46.98 psnr_y:46.15 psnr_u:49.08 psnr_v:49.64 
n:67 mse_avg:1.24 mse_y:1.50 mse_u:0.79 mse_v:0.70 psnr_avg:47.18 psnr_y:46.38 psnr_u:49.16 psnr_v:49.69 
n:68 mse_avg:1.35 mse_y:1.65 mse_u:0.80 mse_v:0.71 psnr_avg:46.82 psnr_y:45.96 psnr_u:49.08 psnr_v:49.61 
n:69 mse_avg:0.95 mse_y:1.08 mse_u:0.72 mse_v:0.62 psnr_avg:48.37 psnr_y:47.78 psnr_u:49.55 psnr_v:50.18 
n:70 mse_avg:1.36 mse_y:1.66 mse_u:0.82 mse_v:0.70 psnr_avg:46.80 psnr_y:45.94 psnr_u:49.01 psnr_v:49.70 
n:71 mse_avg:1.32 mse_y:1.62 mse_u:0.79 mse_v:0.68 psnr_avg:46.91 psnr_y:46.04 psnr_u:49.14 psnr_v:49.81 
n:72 mse_avg:1.38 mse_y:1.70 mse_u:0.78 mse_v:0.69 psnr_avg:46.73 psnr_y:45.82 psnr_u:49.22 psnr_v:49.73 
n:73 mse_avg:0.90 mse_y:1.02 mse_u:0.68 mse_v:0.61 psnr_avg:48.60 psnr_y:48.03 psnr_u:49.82 psnr_v:50.25 
n:74 mse_avg:1.34 mse_y:1.64 mse_u:0.77 mse_v:0.71 psnr_avg:46.86 psnr_y:45.99 psnr_u:49.24 psnr_v:49.59 
n:75 mse_avg:1.33 mse_y:1.62 mse_u:0.80 mse_v:0.71 psnr_avg:46.88 psnr_y:46.03 psnr_u:49.08 psnr_v:49.63 
n:76 mse_avg:1.32 mse_y:1.60 mse_u:0.78 mse_v:0.72 psnr_avg:46.93 psnr_y:46.09 psnr_u:49.19 psnr_v:49.55 
n:77 mse_avg:0.99 mse_y:1.14 mse_u:0.72 mse_v:0.64 psnr_avg:48.19 psnr_y:47.57 psnr_u:49.58 psnr_v:50.05 
n:78 mse_avg:1.38 mse_y:1.70 mse_u:0.75 mse_v:0.70 psnr_avg:46.75 psnr_y:45.82 psnr_u:49.38 psnr_v:49.71 
n:79 mse_avg:1.28 mse_y:1.57 mse_u:0.74 mse_v:0.65 psnr_avg:47.06 psnr_y:46.17 psnr_u:49.46 psnr_v:50.01 
n:80 mse_avg:1.32 mse_y:1.64 mse_u:0.75 mse_v:0.65 psnr_avg:46.91 psnr_y:45.99 psnr_u:49.40 psnr_v:50.02 
n:81 mse_avg:0.88 mse_y:1.01 mse_u:0.66 mse_v:0.59 psnr_avg:48.67 psnr_y:48.08 psnr_u:49.93 psnr_v:50.40 
n:82 mse_avg:1.35 mse_y:1.67 mse_u:0.75 mse_v:0.66 psnr_avg:46.84 psnr_y:45.91 psnr_u:49.41 psnr_v:49.95 
n:83 mse_avg:1.31 mse_y:1.61 mse_u:0.77 mse_v:0.65 psnr_avg:46.97 psnr_y:46.08 psnr_u:49.28 psnr_v:49.99 
n:84 mse_avg:1.37 mse_y:1.71 mse_u:0.72 mse_v:0.66 psnr_avg:46.75 psnr_y:45.79 psnr_u:49.54 psnr_v:49.91 
n:85 mse_avg:0.95 mse_y:1.11 mse_u:0.67 mse_v:0.62 psnr_avg:48.33 psnr_y:47.68 psnr_u:49.85 psnr_v:50.20 
n:86 mse_avg:1.33 mse_y:1.64 mse_u:0.73 mse_v:0.70 psnr_avg:46.88 psnr_y:45.98 psnr_u:49.47 psnr_v:49.66 
n:87 mse_avg:1.32 mse_y:1.63 mse_u:0.74 mse_v:0.68 psnr_avg:46.92 psnr_y:46.02 psnr_u:49.42 psnr_v:49.84 
n:88 mse_avg:1.33 mse_y:1.64 mse_u:0.73 mse_v:0.67 psnr_avg:46.91 psnr_y:45.99 psnr_u:49.51 psnr_v:49.88 
n:89 mse_avg:0.93 mse_y:1.07 mse_u:0.68 mse_v:0.62 psnr_avg:48.46 psnr_y:47.85 psnr_u:49.83 psnr_v:50.22 
n:90 mse_avg:1.32 mse_y:1.62 mse_u:0.74 mse_v:0.67 psnr_avg:46.94 psnr_y:46.03 psnr_u:49.46 psnr_v:49.88 
n:91 mse_avg:1.28 mse_y:1.58 mse_u:0.72 mse_v:0.65 psnr_avg:47.05 psnr_y:46.14 psnr_u:49.55 psnr_v:50.00 
n:92 mse_avg:1.25 mse_y:1.53 mse_u:0.72 mse_v:0.65 psnr_avg:47.17 psnr_y:46.29 psnr_u:49.55 psnr_v:50.01 
n:93 mse_avg:0.89 mse_y:1.03 mse_u:0.65 mse_v:0.59 psnr_avg:48.62 psnr_y:48.01 psnr_u:50.00 psnr_v:50.40 
n:94 mse_avg:1.27 mse_y:1.57 mse_u:0.72 mse_v:0.63 psnr_avg:47.09 psnr_y:46.18 psnr_u:49.56 psnr_v:50.15 
n:95 mse_avg:1.26 mse_y:1.54 mse_u:0.72 mse_v:0.64 psnr_avg:47.14 psnr_y:46.25 psnr_u:49.54 psnr_v:50.09 
n:96 mse_avg:1.24 mse_y:1.52 mse_u:0.72 mse_v:0.64 psnr_avg:47.20 psnr_y:46.31 psnr_u:49.57 psnr_v:50.10 
n:97 mse_avg:0.87 mse_y:0.99 mse_u:0.66 mse_v:0.60 psnr_avg:48.74 psnr_y:48.19 psnr_u:49.91 psnr_v:50.37 
n:98 mse_avg:1.22 mse_y:1.49 mse_u:0.72 mse_v:0.64 psnr_avg:47.28 psnr_y:46.40 psnr_u:49.58 psnr_v:50.09 
n:99 mse_avg:1.19 mse_y:1.44 mse_u:0.72 mse_v:0.64 psnr_avg:47.38 psnr_y:46.54 psnr_u:49.57 psnr_v:50.09 
n:100 mse_avg:1.20 mse_y:1.46 mse_u:0.72 mse_v:0.64 psnr_avg:47.35 psnr_y:46.49 psnr_u:49.57 psnr_v:50.07 
n:101 mse_avg:0.89 mse_y:1.02 mse_u:0.67 mse_v:0.60 psnr_avg:48.64 psnr_y:48.06 psnr_u:49.89 psnr_v:50.34 
