n:52 mse_avg:54.21 mse_y:79.56 mse_u:3.38 mse_v:3.62 psnr_avg:30.79 psnr_y:29.12 psnr_u:42.84 psnr_v:42.54 
n:53 mse_avg:64.71 mse_y:95.23 mse_u:3.47 mse_v:3.88 psnr_avg:30.02 psnr_y:28.34 psnr_u:42.73 psnr_v:42.25 
n:54 mse_avg:72.76 mse_y:107.23 mse_u:3.56 mse_v:4.07 psnr_avg:29.51 psnr_y:27.83 psnr_u:42.62 psnr_v:42.04 
n:55 mse_avg:78.58 mse_y:115.89 mse_u:3.69 mse_v:4.20 psnr_avg:29.18 psnr_y:27.49 psnr_u:42.46 psnr_v:41.90 
n:56 mse_avg:83.74 mse_y:123.63 mse_u:3.75 mse_v:4.14 psnr_avg:28.90 psnr_y:27.21 psnr_u:42.39 psnr_v:41.96 
n:57 mse_avg:86.10 mse_y:127.15 mse_u:3.83 mse_v:4.18 psnr_avg:28.78 psnr_y:27.09 psnr_u:42.29 psnr_v:41.92 
n:58 mse_avg:91.32 mse_y:134.93 mse_u:3.92 mse_v:4.27 psnr_avg:28.53 psnr_y:26.83 psnr_u:42.20 psnr_v:41.82 
n:59 mse_avg:58.31 mse_y:85.45 mse_u:4.05 mse_v:4.00 psnr_avg:30.47 psnr_y:28.81 psnr_u:42.06 psnr_v:42.11 
n:60 mse_avg:65.13 mse_y:95.61 mse_u:4.20 mse_v:4.14 psnr_avg:29.99 psnr_y:28.33 psnr_u:41.90 psnr_v:41.96 
n:61 mse_avg:74.00 mse_y:108.90 mse_u:4.22 mse_v:4.21 psnr_avg:29.44 psnr_y:27.76 psnr_u:41.88 psnr_v:41.88 
n:62 mse_avg:80.25 mse_y:118.20 mse_u:4.36 mse_v:4.36 psnr_avg:29.09 psnr_y:27.40 psnr_u:41.74 psnr_v:41.74 
n:63 mse_avg:82.29 mse_y:121.22 mse_u:4.41 mse_v:4.43 psnr_avg:28.98 psnr_y:27.29 psnr_u:41.68 psnr_v:41.67 
n:64 mse_avg:82.33 mse_y:121.23 mse_u:4.54 mse_v:4.52 psnr_avg:28.98 psnr_y:27.29 psnr_u:41.56 psnr_v:41.58 
n:65 mse_avg:84.12 mse_y:123.87 mse_u:4.61 mse_v:4.63 psnr_avg:28.88 psnr_y:27.20 psnr_u:41.50 psnr_v:41.47 
n:66 mse_avg:44.28 mse_y:64.39 mse_u:4.01 mse_v:4.13 psnr_avg:31.67 psnr_y:30.04 psnr_u:42.10 psnr_v:41.97 
n:67 mse_avg:50.47 mse_y:73.63 mse_u:4.22 mse_v:4.09 psnr_avg:31.10 psnr_y:29.46 psnr_u:41.87 psnr_v:42.02 
n:68 mse_avg:49.99 mse_y:72.86 mse_u:4.40 mse_v:4.07 psnr_avg:31.14 psnr_y:29.51 psnr_u:41.70 psnr_v:42.03 
n:69 mse_avg:44.92 mse_y:65.25 mse_u:4.38 mse_v:4.14 psnr_avg:31.61 psnr_y:29.99 psnr_u:41.71 psnr_v:41.96 
n:70 mse_avg:38.07 mse_y:54.97 mse_u:4.50 mse_v:4.05 psnr_avg:32.33 psnr_y:30.73 psnr_u:41.60 psnr_v:42.05 
n:71 mse_avg:38.28 mse_y:55.17 mse_u:4.96 mse_v:4.05 psnr_avg:32.30 psnr_y:30.71 psnr_u:41.17 psnr_v:42.06 
n:72 mse_avg:35.42 mse_y:50.70 mse_u:5.44 mse_v:4.26 psnr_avg:32.64 psnr_y:31.08 psnr_u:40.78 psnr_v:41.84 
n:73 mse_avg:18.77 mse_y:25.95 mse_u:4.88 mse_v:3.93 psnr_avg:35.40 psnr_y:33.99 psnr_u:41.25 psnr_v:42.18 
n:74 mse_avg:51.65 mse_y:74.98 mse_u:5.65 mse_v:4.35 psnr_avg:31.00 psnr_y:29.38 psnr_u:40.61 psnr_v:41.74 
n:75 mse_avg:88.80 mse_y:130.39 mse_u:6.34 mse_v:4.86 psnr_avg:28.65 psnr_y:26.98 psnr_u:40.11 psnr_v:41.26 
n:76 mse_avg:79.68 mse_y:116.68 mse_u:6.45 mse_v:4.91 psnr_avg:29.12 psnr_y:27.46 psnr_u:40.04 psnr_v:41.22 
n:77 mse_avg:74.01 mse_y:108.16 mse_u:6.40 mse_v:5.01 psnr_avg:29.44 psnr_y:27.79 psnr_u:40.07 psnr_v:41.13 
n:78 mse_avg:68.72 mse_y:100.25 mse_u:6.29 mse_v:5.03 psnr_avg:29.76 psnr_y:28.12 psnr_u:40.14 psnr_v:41.12 
