n:92 mse_avg:6.17 mse_y:8.26 mse_u:1.32 mse_v:2.63 psnr_avg:40.23 psnr_y:38.96 psnr_u:46.93 psnr_v:43.93 
n:93 mse_avg:8.08 mse_y:11.12 mse_u:1.33 mse_v:2.66 psnr_avg:39.06 psnr_y:37.67 psnr_u:46.90 psnr_v:43.89 
n:94 mse_avg:8.63 mse_y:11.94 mse_u:1.33 mse_v:2.68 psnr_avg:38.77 psnr_y:37.36 psnr_u:46.88 psnr_v:43.85 
n:95 mse_avg:9.82 mse_y:13.72 mse_u:1.35 mse_v:2.73 psnr_avg:38.21 psnr_y:36.76 psnr_u:46.84 psnr_v:43.76 
n:96 mse_avg:10.68 mse_y:14.99 mse_u:1.36 mse_v:2.78 psnr_avg:37.84 psnr_y:36.37 psnr_u:46.79 psnr_v:43.69 
n:97 mse_avg:10.55 mse_y:14.78 mse_u:1.39 mse_v:2.84 psnr_avg:37.90 psnr_y:36.44 psnr_u:46.71 psnr_v:43.60 
n:98 mse_avg:10.98 mse_y:15.40 mse_u:1.40 mse_v:2.86 psnr_avg:37.72 psnr_y:36.25 psnr_u:46.66 psnr_v:43.56 
n:99 mse_avg:11.76 mse_y:16.56 mse_u:1.42 mse_v:2.92 psnr_avg:37.43 psnr_y:35.94 psnr_u:46.60 psnr_v:43.47 
n:100 mse_avg:12.04 mse_y:16.98 mse_u:1.43 mse_v:2.91 psnr_avg:37.32 psnr_y:35.83 psnr_u:46.57 psnr_v:43.49 
n:101 mse_avg:7.12 mse_y:9.65 mse_u:1.37 mse_v:2.75 psnr_avg:39.60 psnr_y:38.28 psnr_u:46.77 psnr_v:43.73 
n:102 mse_avg:8.84 mse_y:12.21 mse_u:1.39 mse_v:2.85 psnr_avg:38.66 psnr_y:37.26 psnr_u:46.71 psnr_v:43.59 
n:103 mse_avg:9.88 mse_y:13.73 mse_u:1.41 mse_v:2.92 psnr_avg:38.19 psnr_y:36.75 psnr_u:46.65 psnr_v:43.47 
n:104 mse_avg:11.29 mse_y:15.83 mse_u:1.43 mse_v:2.96 psnr_avg:37.61 psnr_y:36.14 psnr_u:46.57 psnr_v:43.41 
n:105 mse_avg:11.49 mse_y:16.13 mse_u:1.44 mse_v:2.98 psnr_avg:37.53 psnr_y:36.06 psnr_u:46.56 psnr_v:43.38 
n:106 mse_avg:11.57 mse_y:16.21 mse_u:1.45 mse_v:3.12 psnr_avg:37.50 psnr_y:36.03 psnr_u:46.50 psnr_v:43.19 
n:107 mse_avg:12.08 mse_y:16.96 mse_u:1.48 mse_v:3.15 psnr_avg:37.31 psnr_y:35.84 psnr_u:46.44 psnr_v:43.14 
n:108 mse_avg:12.69 mse_y:17.88 mse_u:1.48 mse_v:3.18 psnr_avg:37.09 psnr_y:35.61 psnr_u:46.42 psnr_v:43.11 
n:109 mse_avg:12.97 mse_y:18.27 mse_u:1.49 mse_v:3.22 psnr_avg:37.00 psnr_y:35.51 psnr_u:46.40 psnr_v:43.05 
n:110 mse_avg:7.41 mse_y:10.01 mse_u:1.45 mse_v:2.95 psnr_avg:39.43 psnr_y:38.13 psnr_u:46.53 psnr_v:43.43 
n:111 mse_avg:9.10 mse_y:12.54 mse_u:1.45 mse_v:2.99 psnr_avg:38.54 psnr_y:37.15 psnr_u:46.51 psnr_v:43.37 
n:112 mse_avg:10.05 mse_y:13.95 mse_u:1.48 mse_v:3.02 psnr_avg:38.11 psnr_y:36.69 psnr_u:46.44 psnr_v:43.33 
n:113 mse_avg:10.83 mse_y:15.11 mse_u:1.50 mse_v:3.07 psnr_avg:37.78 psnr_y:36.34 psnr_u:46.38 psnr_v:43.25 
n:114 mse_avg:11.24 mse_y:15.71 mse_u:1.51 mse_v:3.12 psnr_avg:37.62 psnr_y:36.17 psnr_u:46.33 psnr_v:43.19 
n:115 mse_avg:10.79 mse_y:15.01 mse_u:1.54 mse_v:3.15 psnr_avg:37.80 psnr_y:36.37 psnr_u:46.26 psnr_v:43.14 
n:116 mse_avg:11.75 mse_y:16.44 mse_u:1.55 mse_v:3.20 psnr_avg:37.43 psnr_y:35.97 psnr_u:46.22 psnr_v:43.08 
n:117 mse_avg:11.86 mse_y:16.58 mse_u:1.57 mse_v:3.25 psnr_avg:37.39 psnr_y:35.93 psnr_u:46.17 psnr_v:43.02 
n:118 mse_avg:12.03 mse_y:16.83 mse_u:1.57 mse_v:3.29 psnr_avg:37.33 psnr_y:35.87 psnr_u:46.17 psnr_v:42.96 
n:119 mse_avg:7.81 mse_y:10.59 mse_u:1.49 mse_v:3.01 psnr_avg:39.20 psnr_y:37.88 psnr_u:46.38 psnr_v:43.35 
n:120 mse_avg:8.07 mse_y:10.97 mse_u:1.49 mse_v:3.04 psnr_avg:39.06 psnr_y:37.73 psnr_u:46.39 psnr_v:43.31 
n:121 mse_avg:3.62 mse_y:4.35 mse_u:2.01 mse_v:2.33 psnr_avg:42.54 psnr_y:41.75 psnr_u:45.10 psnr_v:44.47 
n:122 mse_avg:3.09 mse_y:3.64 mse_u:1.91 mse_v:2.11 psnr_avg:43.22 psnr_y:42.52 psnr_u:45.33 psnr_v:44.89 
n:123 mse_avg:2.97 mse_y:3.48 mse_u:1.85 mse_v:2.04 psnr_avg:43.41 psnr_y:42.72 psnr_u:45.46 psnr_v:45.04 
n:124 mse_avg:2.98 mse_y:3.47 mse_u:1.89 mse_v:2.08 psnr_avg:43.40 psnr_y:42.73 psnr_u:45.37 psnr_v:44.94 
n:125 mse_avg:2.95 mse_y:3.42 mse_u:1.92 mse_v:2.10 psnr_avg:43.43 psnr_y:42.79 psnr_u:45.29 psnr_v:44.91 
n:126 mse_avg:3.18 mse_y:3.73 mse_u:1.98 mse_v:2.15 psnr_avg:43.11 psnr_y:42.41 psnr_u:45.16 psnr_v:44.82 
n:127 mse_avg:3.35 mse_y:3.96 mse_u:2.05 mse_v:2.21 psnr_avg:42.88 psnr_y:42.16 psnr_u:45.02 psnr_v:44.69 
n:128 mse_avg:1.99 mse_y:2.34 mse_u:1.14 mse_v:1.41 psnr_avg:45.15 psnr_y:44.43 psnr_u:47.55 psnr_v:46.65 
n:129 mse_avg:2.40 mse_y:2.93 mse_u:1.19 mse_v:1.46 psnr_avg:44.33 psnr_y:43.46 psnr_u:47.37 psnr_v:46.48 
n:130 mse_avg:2.62 mse_y:3.24 mse_u:1.23 mse_v:1.50 psnr_avg:43.96 psnr_y:43.03 psnr_u:47.22 psnr_v:46.36 
