n:70 mse_avg:10.67 mse_y:15.07 mse_u:2.05 mse_v:1.71 psnr_avg:37.85 psnr_y:36.35 psnr_u:45.01 psnr_v:45.80 
n:71 mse_avg:10.17 mse_y:14.32 mse_u:2.07 mse_v:1.70 psnr_avg:38.06 psnr_y:36.57 psnr_u:44.98 psnr_v:45.83 
n:72 mse_avg:11.53 mse_y:16.32 mse_u:2.18 mse_v:1.72 psnr_avg:37.51 psnr_y:36.00 psnr_u:44.75 psnr_v:45.76 
n:73 mse_avg:10.46 mse_y:14.57 mse_u:2.55 mse_v:1.95 psnr_avg:37.93 psnr_y:36.50 psnr_u:44.06 psnr_v:45.22 
n:74 mse_avg:11.34 mse_y:15.70 mse_u:3.03 mse_v:2.20 psnr_avg:37.58 psnr_y:36.17 psnr_u:43.32 psnr_v:44.71 
n:75 mse_avg:13.51 mse_y:18.82 mse_u:3.41 mse_v:2.39 psnr_avg:36.82 psnr_y:35.38 psnr_u:42.81 psnr_v:44.35 
n:76 mse_avg:17.54 mse_y:24.81 mse_u:3.55 mse_v:2.44 psnr_avg:35.69 psnr_y:34.18 psnr_u:42.63 psnr_v:44.27 
n:77 mse_avg:16.30 mse_y:23.01 mse_u:3.47 mse_v:2.32 psnr_avg:36.01 psnr_y:34.51 psnr_u:42.73 psnr_v:44.47 
n:78 mse_avg:18.60 mse_y:26.41 mse_u:3.50 mse_v:2.42 psnr_avg:35.44 psnr_y:33.91 psnr_u:42.69 psnr_v:44.29 
n:79 mse_avg:13.46 mse_y:18.77 mse_u:3.39 mse_v:2.32 psnr_avg:36.84 psnr_y:35.40 psnr_u:42.83 psnr_v:44.48 
n:80 mse_avg:14.27 mse_y:19.97 mse_u:3.41 mse_v:2.34 psnr_avg:36.59 psnr_y:35.13 psnr_u:42.80 psnr_v:44.43 
n:81 mse_avg:18.16 mse_y:25.77 mse_u:3.54 mse_v:2.37 psnr_avg:35.54 psnr_y:34.02 psnr_u:42.65 psnr_v:44.39 
n:82 mse_avg:16.45 mse_y:23.20 mse_u:3.52 mse_v:2.38 psnr_avg:35.97 psnr_y:34.48 psnr_u:42.66 psnr_v:44.37 
n:83 mse_avg:16.93 mse_y:23.90 mse_u:3.57 mse_v:2.37 psnr_avg:35.84 psnr_y:34.35 psnr_u:42.60 psnr_v:44.38 
n:84 mse_avg:13.47 mse_y:18.76 mse_u:3.48 mse_v:2.32 psnr_avg:36.84 psnr_y:35.40 psnr_u:42.72 psnr_v:44.48 
n:85 mse_avg:16.56 mse_y:23.39 mse_u:3.49 mse_v:2.34 psnr_avg:35.94 psnr_y:34.44 psnr_u:42.70 psnr_v:44.44 
n:86 mse_avg:13.70 mse_y:19.15 mse_u:3.31 mse_v:2.27 psnr_avg:36.77 psnr_y:35.31 psnr_u:42.94 psnr_v:44.58 
n:87 mse_avg:13.91 mse_y:19.49 mse_u:3.27 mse_v:2.26 psnr_avg:36.70 psnr_y:35.23 psnr_u:42.99 psnr_v:44.60 
n:88 mse_avg:13.15 mse_y:18.31 mse_u:3.36 mse_v:2.32 psnr_avg:36.94 psnr_y:35.50 psnr_u:42.87 psnr_v:44.47 
n:89 mse_avg:17.43 mse_y:24.66 mse_u:3.48 mse_v:2.45 psnr_avg:35.72 psnr_y:34.21 psnr_u:42.71 psnr_v:44.24 
n:90 mse_avg:16.60 mse_y:23.42 mse_u:3.56 mse_v:2.38 psnr_avg:35.93 psnr_y:34.44 psnr_u:42.62 psnr_v:44.36 
n:91 mse_avg:18.28 mse_y:25.92 mse_u:3.56 mse_v:2.44 psnr_avg:35.51 psnr_y:33.99 psnr_u:42.62 psnr_v:44.25 
n:92 mse_avg:13.64 mse_y:19.02 mse_u:3.44 mse_v:2.33 psnr_avg:36.78 psnr_y:35.34 psnr_u:42.77 psnr_v:44.45 
n:93 mse_avg:18.07 mse_y:25.62 mse_u:3.58 mse_v:2.37 psnr_avg:35.56 psnr_y:34.04 psnr_u:42.59 psnr_v:44.39 
n:94 mse_avg:14.39 mse_y:20.13 mse_u:3.53 mse_v:2.30 psnr_avg:36.55 psnr_y:35.09 psnr_u:42.65 psnr_v:44.51 
