n:74 mse_avg:4.65 mse_y:5.90 mse_u:2.28 mse_v:2.00 psnr_avg:41.46 psnr_y:40.42 psnr_u:44.55 psnr_v:45.12 
n:75 mse_avg:4.68 mse_y:5.93 mse_u:2.32 mse_v:2.01 psnr_avg:41.43 psnr_y:40.40 psnr_u:44.48 psnr_v:45.10 
n:76 mse_avg:4.66 mse_y:5.90 mse_u:2.32 mse_v:2.01 psnr_avg:41.45 psnr_y:40.42 psnr_u:44.48 psnr_v:45.10 
n:77 mse_avg:4.53 mse_y:5.74 mse_u:2.28 mse_v:1.94 psnr_avg:41.57 psnr_y:40.54 psnr_u:44.55 psnr_v:45.26 
n:78 mse_avg:4.52 mse_y:5.73 mse_u:2.28 mse_v:1.94 psnr_avg:41.58 psnr_y:40.55 psnr_u:44.56 psnr_v:45.26 
n:79 mse_avg:4.42 mse_y:5.59 mse_u:2.30 mse_v:1.89 psnr_avg:41.67 psnr_y:40.66 psnr_u:44.52 psnr_v:45.37 
n:80 mse_avg:4.51 mse_y:5.72 mse_u:2.30 mse_v:1.87 psnr_avg:41.59 psnr_y:40.56 psnr_u:44.51 psnr_v:45.41 
n:81 mse_avg:4.43 mse_y:5.62 mse_u:2.28 mse_v:1.85 psnr_avg:41.66 psnr_y:40.64 psnr_u:44.54 psnr_v:45.46 
n:82 mse_avg:4.47 mse_y:5.68 mse_u:2.26 mse_v:1.85 psnr_avg:41.63 psnr_y:40.59 psnr_u:44.58 psnr_v:45.45 
n:83 mse_avg:4.52 mse_y:5.73 mse_u:2.31 mse_v:1.87 psnr_avg:41.58 psnr_y:40.55 psnr_u:44.50 psnr_v:45.41 
n:84 mse_avg:4.60 mse_y:5.86 mse_u:2.30 mse_v:1.87 psnr_avg:41.50 psnr_y:40.45 psnr_u:44.52 psnr_v:45.40 
n:85 mse_avg:4.56 mse_y:5.82 mse_u:2.23 mse_v:1.86 psnr_avg:41.54 psnr_y:40.48 psnr_u:44.64 psnr_v:45.43 
